"Start Time","End Time","Text","Layer ID"
"00:01:36:09","00:01:37:10","dragons,","1"
"00:01:37:10","00:01:38:02","des créatures","1"
"00:01:38:02","00:01:38:14","magiques","1"
"00:01:38:14","00:01:38:18","qui","1"
"00:01:38:18","00:01:39:08","nous apporté","1"
"00:01:39:08","00:01:39:22","l'eau,","1"
"00:01:39:22","00:01:40:22","la pluie","1"
"00:01:40:22","00:01:41:01","et","1"
"00:01:41:01","00:01:42:05","la paix.","1"
"00:01:43:11","00:01:43:22","C'était","1"
"00:01:43:22","00:01:45:03","un paradis.","1"
"00:01:46:01","00:01:46:07","Mais","1"
"00:01:46:07","00:01:47:03","un jour,","1"
"00:01:47:03","00:01:47:18","le drone","1"
"00:01:47:18","00:01:48:22","est arrivé.","1"
"00:01:51:01","00:01:51:14","Une plaie","1"
"00:01:51:14","00:01:52:01","aveugle","1"
"00:01:52:01","00:01:52:09","qui s'est","1"
"00:01:52:09","00:01:52:20","répandue","1"
"00:01:52:20","00:01:53:04","comme un","1"
"00:01:53:04","00:01:54:02","incendie,","1"
"00:01:54:02","00:01:54:07","se","1"
"00:01:54:07","00:01:54:19","nourrissant","1"
"00:01:54:19","00:01:55:08","de l'essence","1"
"00:01:55:08","00:01:55:18","même de","1"
"00:01:55:18","00:01:56:02","la vie","1"
"00:01:56:02","00:01:56:05","et","1"
"00:01:56:05","00:01:56:21","transformant","1"
"00:01:56:21","00:01:57:09","tout sur","1"
"00:01:57:09","00:01:57:13","son","1"
"00:01:57:13","00:01:58:13","passage","1"
"00:01:58:13","00:01:58:16","en","1"
"00:01:58:16","00:01:59:02","pierre","1"
"00:01:59:02","00:02:00:06","froide.","1"
"00:02:01:00","00:02:01:14","Les Dragons","1"
"00:02:01:14","00:02:01:23","ont tout","1"
"00:02:01:23","00:02:02:03","fait","1"
"00:02:02:03","00:02:02:07","pour","1"
"00:02:02:07","00:02:02:10","nous","1"
"00:02:02:10","00:02:03:15","défendre,","1"
"00:02:05:03","00:02:06:03","mais","1"
"00:02:06:03","00:02:06:13","cela n'a","1"
"00:02:06:13","00:02:06:16","pas","1"
"00:02:06:16","00:02:07:21","suffi.","1"
"00:02:09:06","00:02:09:13","C'est","1"
"00:02:09:13","00:02:09:20","alors","1"
"00:02:09:20","00:02:10:00","que","1"
"00:02:10:00","00:02:10:15","le dernier","1"
"00:02:10:15","00:02:11:01","dragon,","1"
"00:02:11:01","00:02:11:16","la grande","1"
"00:02:11:16","00:02:11:22","scie","1"
"00:02:11:22","00:02:12:15","soudain,","1"
"00:02:12:15","00:02:13:05","concentra","1"
"00:02:13:05","00:02:13:12","toute","1"
"00:02:13:12","00:02:14:01","sa magie","1"
"00:02:14:01","00:02:14:10","dans une","1"
"00:02:14:10","00:02:14:21","pierre","1"
"00:02:21:02","00:02:21:09","et elle","1"
"00:02:21:09","00:02:21:22","parvint","1"
"00:02:21:22","00:02:22:02","à","1"
"00:02:22:02","00:02:22:18","repousser","1"
"00:02:22:18","00:02:22:21","le","1"
"00:02:22:21","00:02:24:01","drone.","1"
"00:02:24:10","00:02:24:20","Tous ceux","1"
"00:02:24:20","00:02:25:00","qui","1"
"00:02:25:00","00:02:25:05","avaient","1"
"00:02:25:05","00:02:25:10","été","1"
"00:02:25:10","00:02:25:23","pétrifiés","1"
"00:02:25:23","00:02:26:09","revinrent","1"
"00:02:26:09","00:02:26:11","à","1"
"00:02:26:11","00:02:27:14","la vie.","1"
"00:02:27:14","00:02:28:00","Tous,","1"
"00:02:28:00","00:02:29:04","excepté","1"
"00:02:29:15","00:02:30:20","les dragons","1"
"00:02:34:01","00:02:34:21","de six.","1"
"00:02:34:21","00:02:35:12","Il ne resta","1"
"00:02:35:12","00:02:35:16","que","1"
"00:02:35:16","00:02:36:21","la pierre.","1"
"00:02:37:02","00:02:37:07","Ce","1"
"00:02:37:07","00:02:38:01","sacrifice","1"
"00:02:38:01","00:02:38:10","tellement","1"
"00:02:38:10","00:02:38:23","inspirant","1"
"00:02:38:23","00:02:39:05","aurait","1"
"00:02:39:05","00:02:39:12","dû être","1"
"00:02:39:12","00:02:39:20","un grand","1"
"00:02:39:20","00:02:40:02","moment","1"
"00:02:40:02","00:02:40:11","d'union","1"
"00:02:40:11","00:02:40:15","pour","1"
"00:02:40:15","00:02:41:20","l'humanité.","1"
"00:02:42:14","00:02:43:03","Mais","1"
"00:02:43:03","00:02:43:13","au lieu de","1"
"00:02:43:13","00:02:43:22","cela,","1"
"00:02:43:22","00:02:44:06","l'être","1"
"00:02:44:06","00:02:44:12","humain","1"
"00:02:44:12","00:02:44:19","étant","1"
"00:02:44:19","00:02:45:02","ce qu'il","1"
"00:02:45:02","00:02:46:00","est,","1"
"00:02:46:00","00:02:46:03","nous","1"
"00:02:46:03","00:02:46:12","nous sommes","1"
"00:02:46:12","00:02:46:23","violemment","1"
"00:02:46:23","00:02:47:10","affrontés","1"
"00:02:47:10","00:02:47:16","pour la","1"
"00:02:47:16","00:02:48:02","dernière","1"
"00:02:48:02","00:02:48:11","relique","1"
"00:02:48:11","00:02:48:21","magique","1"
"00:02:48:21","00:02:49:01","des","1"
"00:02:49:01","00:02:50:05","dragons.","1"
"00:02:51:07","00:02:51:23","Des frontières","1"
"00:02:51:23","00:02:52:03","furent","1"
"00:02:52:03","00:02:52:19","tracées","1"
"00:02:52:19","00:02:53:00","et","1"
"00:02:53:00","00:02:53:15","commandera","1"
"00:02:53:15","00:02:54:16","diviser.","1"
"00:02:54:16","00:02:55:02","Nous sommes","1"
"00:02:55:02","00:02:55:12","devenus","1"
"00:02:55:12","00:02:56:11","des ennemis","1"
"00:02:56:11","00:02:56:17","et","1"
"00:02:56:17","00:02:57:03","la pierre","1"
"00:02:57:03","00:02:57:08","a dû","1"
"00:02:57:08","00:02:58:13","être cachée.","1"
"00:02:59:04","00:02:59:10","Mais","1"
"00:02:59:10","00:02:59:20","ce n'est pas","1"
"00:02:59:20","00:03:00:01","ce qui","1"
"00:03:00:01","00:03:00:02","a","1"
"00:03:00:02","00:03:00:09","détruit","1"
"00:03:00:09","00:03:01:14","le monde.","1"
"00:03:01:21","00:03:02:12","Le désastre","1"
"00:03:02:12","00:03:02:15","s'est","1"
"00:03:02:15","00:03:03:00","produit","1"
"00:03:03:00","00:03:03:10","presque","1"
"00:03:03:10","00:03:03:23","500 ans","1"
"00:03:03:23","00:03:05:04","plus tard,","1"
"00:03:05:06","00:03:05:14","lorsque","1"
"00:03:05:14","00:03:05:17","j'ai","1"
"00:03:05:17","00:03:05:22","pris","1"
"00:03:05:22","00:03:06:05","part à","1"
"00:03:06:05","00:03:07:09","l'histoire.","1"
"00:03:07:09","00:03:08:14","Chaque","1"
"00:03:16:14","00:03:17:19","tu","1"
"00:03:18:14","00:03:19:16","viens,","1"
"00:03:19:16","00:03:20:21","tu n'as","1"
"00:03:21:00","00:03:22:05","qu'à","1"
"00:03:23:22","00:03:24:14","plus","1"
"00:03:24:14","00:03:25:18","de cinq","1"
"00:03:27:22","00:03:28:15","ha !","1"
"00:03:28:15","00:03:29:20","Ha ha ha","1"
"00:03:29:23","00:03:30:22","ha ha","1"
"00:03:30:22","00:03:32:03","ha ha","1"
"00:03:32:11","00:03:33:22","ha ha !","1"
"00:04:01:14","00:04:02:19","Oui !","1"
"00:04:06:06","00:04:07:03","À","1"
"00:04:07:03","00:04:07:15","quelqu'un","1"
"00:04:07:15","00:04:07:18","veut","1"
"00:04:07:18","00:04:08:01","jouer","1"
"00:04:08:01","00:04:08:03","au","1"
"00:04:08:03","00:04:08:14","plus malin","1"
"00:04:08:14","00:04:08:21","avec","1"
"00:04:08:21","00:04:10:02","nous.","1"
"00:04:12:06","00:04:12:14","Allez","1"
"00:04:12:14","00:04:12:18","tous","1"
"00:04:12:18","00:04:13:13","deux,","1"
"00:04:13:13","00:04:14:08","on va lui montrer","1"
"00:04:14:08","00:04:14:11","qui est","1"
"00:04:14:11","00:04:14:17","le plus","1"
"00:04:14:17","00:04:15:22","malin.","1"
"00:04:25:17","00:04:26:04","Tout le","1"
"00:04:26:04","00:04:27:09","temps.","1"
"00:04:27:14","00:04:27:17","Qu'est","1"
"00:04:27:17","00:04:27:22","ce que","1"
"00:04:27:22","00:04:28:02","tu","1"
"00:04:28:02","00:04:28:21","fais ?","1"
"00:04:28:21","00:04:29:07","Concentre","1"
"00:04:29:07","00:04:29:16","toi !","1"
"00:04:29:16","00:04:30:20","Oh,","1"
"00:04:31:09","00:04:31:23","je dis","1"
"00:04:31:23","00:04:33:03","dis","1"
"00:04:36:01","00:04:37:01","tout.","1"
"00:04:37:01","00:04:37:15","À tous","1"
"00:04:37:15","00:04:37:17","et","1"
"00:04:37:17","00:04:38:21","je dis.","1"
"00:04:38:21","00:04:39:08","Bravo !","1"
"00:04:39:08","00:04:39:11","C'est","1"
"00:04:39:11","00:04:39:18","toi le","1"
"00:04:39:18","00:04:40:22","meilleur.","1"
"00:04:42:11","00:04:42:14","Ou","1"
"00:04:42:14","00:04:43:19","presque.","1"
"00:04:58:03","00:05:03:08","Rien.","1"
"00:05:33:11","00:05:33:16","C'est","1"
"00:05:33:16","00:05:34:21","bizarre,","1"
"00:05:38:01","00:05:38:06","c'est","1"
"00:05:38:06","00:05:38:16","beaucoup","1"
"00:05:38:16","00:05:38:22","trop","1"
"00:05:38:22","00:05:40:03","facile.","1"
"00:05:42:08","00:05:42:21","Chef","1"
"00:05:42:21","00:05:44:02","ben ja,","1"
"00:05:44:11","00:05:44:16","je","1"
"00:05:44:16","00:05:45:00","sais que","1"
"00:05:45:00","00:05:45:15","votre devoir","1"
"00:05:45:15","00:05:45:20","est de","1"
"00:05:45:20","00:05:46:06","m'empêcher","1"
"00:05:46:06","00:05:46:18","d'approcher","1"
"00:05:46:18","00:05:47:13","mais","1"
"00:05:47:13","00:05:47:18","c'est","1"
"00:05:47:18","00:05:48:04","perdu","1"
"00:05:48:04","00:05:49:00","d'avance.","1"
"00:05:49:00","00:05:49:19","Ne confondez pas","1"
"00:05:49:19","00:05:50:08","courage","1"
"00:05:50:08","00:05:50:09","et","1"
"00:05:50:09","00:05:51:14","compétence.","1"
"00:05:51:19","00:05:52:11","Je vous garantis","1"
"00:05:52:11","00:05:52:16","que vous","1"
"00:05:52:16","00:05:52:19","ne","1"
"00:05:52:19","00:05:53:02","poserait","1"
"00:05:53:02","00:05:53:05","pas","1"
"00:05:53:05","00:05:53:14","le pied","1"
"00:05:53:14","00:05:53:20","dans le","1"
"00:05:53:20","00:05:54:04","cercle","1"
"00:05:54:04","00:05:54:09","de la","1"
"00:05:54:09","00:05:54:15","pierre","1"
"00:05:54:15","00:05:55:11","de dragon,","1"
"00:05:55:11","00:05:56:00","pas même","1"
"00:05:56:00","00:05:56:02","un","1"
"00:05:56:02","00:05:57:07","orteil.","1"
"00:05:57:09","00:05:57:17","Sortez","1"
"00:05:57:17","00:05:58:05","votre épée","1"
"00:05:58:05","00:05:58:08","Je","1"
"00:05:58:08","00:05:59:13","banja,","1"
"00:05:59:13","00:05:59:17","elle","1"
"00:05:59:17","00:05:59:20","vous","1"
"00:05:59:20","00:06:00:01","serait","1"
"00:06:00:01","00:06:00:21","utile","1"
"00:06:00:21","00:06:02:02","aujourd'hui.","1"
"00:06:10:15","00:06:11:19","C'est","1"
"00:06:11:23","00:06:13:04","bien","1"
"00:06:14:10","00:06:14:21","pour","1"
"00:06:14:21","00:06:15:06","moi.","1"
"00:06:15:06","00:06:16:11","Vous ?","1"
"00:06:38:19","00:06:39:01","Qu'est","1"
"00:06:39:01","00:06:39:05","ce que","1"
"00:06:39:05","00:06:39:07","je","1"
"00:06:39:07","00:06:39:12","t'avais","1"
"00:06:39:12","00:06:40:01","dit","1"
"00:06:40:01","00:06:40:15","à pied","1"
"00:06:40:15","00:06:41:03","à l'intérieur","1"
"00:06:41:03","00:06:41:06","du","1"
"00:06:41:06","00:06:42:10","cercle ?","1"
"00:06:43:06","00:06:43:12","Tu as","1"
"00:06:43:12","00:06:43:21","perdu","1"
"00:06:43:21","00:06:44:05","RIA ?","1"
"00:06:45:09","00:06:46:14","Pas sûr.","1"
"00:06:48:23","00:06:50:04","Oh oui,","1"
"00:06:51:08","00:06:51:16","j'aurais","1"
"00:06:51:16","00:06:51:20","mieux","1"
"00:06:51:20","00:06:52:00","fait","1"
"00:06:52:00","00:06:52:06","de dire","1"
"00:06:52:06","00:06:52:12","les deux","1"
"00:06:52:12","00:06:53:17","pieds.","1"
"00:06:53:20","00:06:54:12","Vous auriez","1"
"00:06:54:12","00:06:54:23","tardé","1"
"00:06:54:23","00:06:55:04","vous","1"
"00:06:55:04","00:06:56:09","en vouloir.","1"
"00:06:56:19","00:06:57:07","L'important,","1"
"00:06:57:07","00:06:57:11","c'est","1"
"00:06:57:11","00:06:58:16","d'essayer.","1"
"00:06:58:18","00:06:59:22","Tu as raison","1"
"00:06:59:22","00:07:00:01","et","1"
"00:07:00:01","00:07:00:06","ce n'est","1"
"00:07:00:06","00:07:00:10","pas","1"
"00:07:00:10","00:07:00:17","chef,","1"
"00:07:00:17","00:07:01:06","mais per","1"
"00:07:01:06","00:07:01:15","ou ba","1"
"00:07:01:15","00:07:02:20","pour toi.","1"
"00:07:03:14","00:07:04:18","Je te félicite.","1"
"00:07:05:18","00:07:06:08","Tu as relevé","1"
"00:07:06:08","00:07:07:12","le défi.","1"
"00:07:11:01","00:07:11:07","C'est","1"
"00:07:11:07","00:07:12:12","magique.","1"
"00:07:12:23","00:07:13:09","l'Esprit","1"
"00:07:13:09","00:07:14:04","sacré","1"
"00:07:14:04","00:07:15:09","des souvent.","1"
"00:07:23:05","00:07:23:13","Depuis","1"
"00:07:23:13","00:07:24:11","des générations,","1"
"00:07:24:11","00:07:25:00","notre famille","1"
"00:07:25:00","00:07:25:04","s'est","1"
"00:07:25:04","00:07:25:14","engagée","1"
"00:07:25:14","00:07:26:02","à protéger","1"
"00:07:26:02","00:07:26:06","ce","1"
"00:07:26:06","00:07:27:11","joyau.","1"
"00:07:27:21","00:07:29:02","Aujourd'hui,","1"
"00:07:29:09","00:07:29:14","c'est","1"
"00:07:29:14","00:07:29:22","à toi","1"
"00:07:29:22","00:07:30:01","de","1"
"00:07:30:01","00:07:30:11","reprendre","1"
"00:07:30:11","00:07:30:13","le","1"
"00:07:30:13","00:07:31:18","flambeau.","1"
"00:07:32:15","00:07:33:20","Rien.","1"
"00:07:33:22","00:07:34:10","Princesse","1"
"00:07:34:10","00:07:34:19","des terres","1"
"00:07:34:19","00:07:35:19","de cœur.","1"
"00:07:35:19","00:07:36:06","Ma fille","1"
"00:07:36:06","00:07:37:10","adorée,","1"
"00:07:37:20","00:07:38:06","te voilà","1"
"00:07:38:06","00:07:38:18","gardienne","1"
"00:07:38:18","00:07:38:21","de","1"
"00:07:38:21","00:07:39:08","la pierre","1"
"00:07:39:08","00:07:39:10","de","1"
"00:07:39:10","00:07:40:15","dragon.","1"
"00:08:25:09","00:08:26:13","Oh,","1"
"00:08:27:10","00:08:27:22","je te trouve","1"
"00:08:27:22","00:08:28:03","bien","1"
"00:08:28:03","00:08:29:01","agitée.","1"
"00:08:29:01","00:08:29:06","C'est","1"
"00:08:29:06","00:08:30:02","normal","1"
"00:08:30:02","00:08:30:06","si","1"
"00:08:30:06","00:08:30:14","quelqu'un","1"
"00:08:30:14","00:08:30:22","tente de","1"
"00:08:30:22","00:08:31:10","dérober.","1"
"00:08:31:10","00:08:31:19","La pierre","1"
"00:08:31:19","00:08:31:23","de.","1"
"00:08:31:23","00:08:32:17","Dragon.","1"
"00:08:32:17","00:08:33:05","Désormais,","1"
"00:08:33:05","00:08:33:15","il devra","1"
"00:08:33:15","00:08:34:01","affronter","1"
"00:08:34:01","00:08:34:17","la fureur","1"
"00:08:34:17","00:08:35:01","des","1"
"00:08:35:01","00:08:35:06","fines","1"
"00:08:35:06","00:08:35:13","lames","1"
"00:08:35:13","00:08:36:11","les plus intrépides","1"
"00:08:36:11","00:08:36:16","des","1"
"00:08:36:16","00:08:36:23","Cinque","1"
"00:08:36:23","00:08:37:05","Terre","1"
"00:08:37:05","00:08:38:09","réunies.","1"
"00:08:38:17","00:08:39:07","Je suis heureux","1"
"00:08:39:07","00:08:39:15","de voir","1"
"00:08:39:15","00:08:39:21","que tu","1"
"00:08:39:21","00:08:40:02","te sens","1"
"00:08:40:02","00:08:40:07","près de","1"
"00:08:40:07","00:08:40:17","ma colombe,","1"
"00:08:40:17","00:08:41:04","car j'ai","1"
"00:08:41:04","00:08:41:14","une nouvelle","1"
"00:08:41:14","00:08:42:02","importante","1"
"00:08:42:02","00:08:43:03","à annoncer.","1"
"00:08:43:03","00:08:43:16","Les habitants","1"
"00:08:43:16","00:08:44:01","des autres","1"
"00:08:44:01","00:08:44:11","terres","1"
"00:08:44:11","00:08:44:16","et leurs","1"
"00:08:44:16","00:08:45:08","représentants","1"
"00:08:45:08","00:08:45:13","sont","1"
"00:08:45:13","00:08:46:03","en chemin.","1"
"00:08:46:03","00:08:47:08","Ils arrivent","1"
"00:08:47:08","00:08:48:09","pas","1"
"00:08:48:09","00:08:49:14","très bien.","1"
"00:08:49:14","00:08:50:00","Très bien.","1"
"00:08:50:00","00:08:50:07","Non,","1"
"00:08:50:07","00:08:50:10","non,","1"
"00:08:50:10","00:08:50:13","non,","1"
"00:08:50:13","00:08:51:06","pas de soucis.","1"
"00:08:51:06","00:08:51:15","Je me sens","1"
"00:08:51:15","00:08:52:03","prête.","1"
"00:08:52:03","00:08:52:11","Je sait","1"
"00:08:52:11","00:08:53:04","exactement","1"
"00:08:53:04","00:08:53:09","comment","1"
"00:08:53:09","00:08:54:09","neutraliser.","1"
"00:08:54:09","00:08:54:17","Tiens","1"
"00:08:54:17","00:08:55:10","donc,","1"
"00:08:55:10","00:08:55:17","que sais","1"
"00:08:55:17","00:08:55:21","tu","1"
"00:08:55:21","00:08:56:05","vraiment","1"
"00:08:56:05","00:08:56:10","des","1"
"00:08:56:10","00:08:56:15","autres","1"
"00:08:56:15","00:08:57:07","terres ?","1"
"00:08:57:07","00:08:58:08","D'abord,","1"
"00:08:58:08","00:08:58:17","il y a","1"
"00:08:58:17","00:08:58:23","que","1"
"00:08:58:23","00:08:59:21","du dragon.","1"
"00:08:59:21","00:09:00:14","Un désert","1"
"00:09:00:14","00:09:01:05","étouffant,","1"
"00:09:01:05","00:09:01:14","peuplé","1"
"00:09:01:14","00:09:01:17","de","1"
"00:09:01:17","00:09:02:08","mercenaires","1"
"00:09:02:08","00:09:02:22","sournois","1"
"00:09:02:22","00:09:03:01","et","1"
"00:09:03:01","00:09:04:04","sanguinaires.","1"
"00:09:04:04","00:09:04:18","Ensuite,","1"
"00:09:04:18","00:09:05:02","Griffe","1"
"00:09:05:02","00:09:05:22","du dragon,","1"
"00:09:05:22","00:09:06:10","un marché","1"
"00:09:06:10","00:09:06:22","flottant","1"
"00:09:06:22","00:09:07:10","réputé","1"
"00:09:07:10","00:09:07:15","pour","1"
"00:09:07:15","00:09:08:02","ses bonnes","1"
"00:09:08:02","00:09:08:15","affaires","1"
"00:09:08:15","00:09:08:22","et ses","1"
"00:09:08:22","00:09:09:13","gardiens","1"
"00:09:09:13","00:09:09:19","comme","1"
"00:09:09:19","00:09:10:08","un plus.","1"
"00:09:11:16","00:09:12:04","Puis","1"
"00:09:12:04","00:09:12:10","deux.","1"
"00:09:12:10","00:09:12:13","Du","1"
"00:09:12:13","00:09:13:07","dragon.","1"
"00:09:13:07","00:09:13:12","Une","1"
"00:09:13:12","00:09:14:03","glaciale","1"
"00:09:14:03","00:09:14:17","forêt de","1"
"00:09:14:17","00:09:15:08","bambous","1"
"00:09:15:08","00:09:15:20","gardée","1"
"00:09:15:20","00:09:16:02","par","1"
"00:09:16:02","00:09:16:18","une armée","1"
"00:09:16:18","00:09:16:22","de","1"
"00:09:16:22","00:09:17:21","colosses","1"
"00:09:17:21","00:09:18:10","et leurs","1"
"00:09:18:10","00:09:19:09","Ash","1"
"00:09:19:09","00:09:20:13","géantes.","1"
"00:09:21:11","00:09:21:15","Et","1"
"00:09:21:15","00:09:22:04","enfin.","1"
"00:09:22:04","00:09:22:12","Crocs","1"
"00:09:22:12","00:09:23:07","du dragon,","1"
"00:09:23:07","00:09:23:14","notre","1"
"00:09:23:14","00:09:23:18","plus","1"
"00:09:23:18","00:09:24:09","féroce","1"
"00:09:24:09","00:09:24:22","ennemi.","1"
"00:09:24:22","00:09:25:13","Une nation","1"
"00:09:25:13","00:09:26:03","protégée","1"
"00:09:26:03","00:09:26:14","par des","1"
"00:09:26:14","00:09:27:01","assassins","1"
"00:09:27:01","00:09:27:18","révoltés","1"
"00:09:27:18","00:09:28:03","et leur","1"
"00:09:28:03","00:09:28:14","félin","1"
"00:09:28:14","00:09:29:19","enragé.","1"
"00:09:32:09","00:09:33:04","Parfait.","1"
"00:09:33:04","00:09:33:16","Nous avons","1"
"00:09:33:16","00:09:34:08","besoin","1"
"00:09:34:08","00:09:35:07","d'arbalètes,","1"
"00:09:35:07","00:09:36:07","de catapultes","1"
"00:09:36:07","00:09:37:10","et","1"
"00:09:37:10","00:09:38:00","préparons","1"
"00:09:38:00","00:09:38:09","des boules","1"
"00:09:38:09","00:09:38:16","de feu","1"
"00:09:38:16","00:09:39:21","à catapulter.","1"
"00:09:39:21","00:09:41:01","Ou alors","1"
"00:09:41:01","00:09:41:07","il y a","1"
"00:09:41:07","00:09:42:00","la bonne","1"
"00:09:42:00","00:09:42:09","crème","1"
"00:09:42:09","00:09:42:13","de","1"
"00:09:42:13","00:09:42:23","crevettes,","1"
"00:09:42:23","00:09:43:02","de","1"
"00:09:43:02","00:09:43:07","queues","1"
"00:09:43:07","00:09:44:03","de dragon,","1"
"00:09:44:03","00:09:44:21","la citronnelle","1"
"00:09:44:21","00:09:45:07","de grive","1"
"00:09:45:07","00:09:45:10","du","1"
"00:09:45:10","00:09:45:20","dragon,","1"
"00:09:45:20","00:09:45:23","des","1"
"00:09:45:23","00:09:46:08","pousses","1"
"00:09:46:08","00:09:46:10","de","1"
"00:09:46:10","00:09:46:18","bambou,","1"
"00:09:46:18","00:09:47:03","de dos,","1"
"00:09:47:03","00:09:47:05","du","1"
"00:09:47:05","00:09:47:16","dragon,","1"
"00:09:47:16","00:09:48:05","des piments","1"
"00:09:48:05","00:09:48:13","de crocs,","1"
"00:09:48:13","00:09:48:15","du","1"
"00:09:48:15","00:09:49:01","dragon","1"
"00:09:49:01","00:09:49:05","et","1"
"00:09:49:05","00:09:49:17","du sucre","1"
"00:09:49:17","00:09:50:04","de palme.","1"
"00:09:50:04","00:09:51:09","Le cœur du dragon.","1"
"00:09:51:15","00:09:51:17","Et","1"
"00:09:51:17","00:09:51:22","tu veux","1"
"00:09:51:22","00:09:53:02","les empoisonner ?","1"
"00:09:53:05","00:09:53:16","Non,","1"
"00:09:53:16","00:09:54:02","nous n'allons","1"
"00:09:54:02","00:09:54:06","pas","1"
"00:09:54:06","00:09:55:04","les empoisonner,","1"
"00:09:55:04","00:09:55:19","nous n'allons pas","1"
"00:09:55:19","00:09:56:21","les combattre.","1"
"00:09:56:21","00:09:57:06","Nous allons","1"
"00:09:57:06","00:09:57:17","partager","1"
"00:09:57:17","00:09:58:04","un repas","1"
"00:09:58:04","00:09:58:11","avec","1"
"00:09:58:11","00:09:59:11","eux.","1"
"00:09:59:11","00:09:59:20","Comment","1"
"00:09:59:20","00:10:00:08","ça ?","1"
"00:10:00:08","00:10:01:09","Je les ai invités.","1"
"00:10:01:09","00:10:01:12","Mais","1"
"00:10:01:12","00:10:01:20","ce sont","1"
"00:10:01:20","00:10:02:17","nos ennemis.","1"
"00:10:02:17","00:10:03:15","Ce sont nos ennemis","1"
"00:10:03:15","00:10:04:07","uniquement","1"
"00:10:04:07","00:10:04:13","parce","1"
"00:10:04:13","00:10:04:17","qu'ils","1"
"00:10:04:17","00:10:05:03","croient","1"
"00:10:05:03","00:10:05:06","que","1"
"00:10:05:06","00:10:05:19","la pierre","1"
"00:10:05:19","00:10:06:07","magique","1"
"00:10:06:07","00:10:06:20","nous apporte","1"
"00:10:06:20","00:10:07:22","la prospérité.","1"
"00:10:07:22","00:10:08:10","La pierre","1"
"00:10:08:10","00:10:08:18","n'a pas","1"
"00:10:08:18","00:10:09:08","ce pouvoir,","1"
"00:10:09:08","00:10:09:13","ça n'a","1"
"00:10:09:13","00:10:09:19","aucun","1"
"00:10:09:19","00:10:10:09","sens.","1"
"00:10:10:09","00:10:10:15","C'est ce","1"
"00:10:10:15","00:10:10:20","qu'ils","1"
"00:10:10:20","00:10:11:14","pensent,","1"
"00:10:11:14","00:10:12:00","tout comme","1"
"00:10:12:00","00:10:12:06","nous.","1"
"00:10:12:06","00:10:12:20","Nous supposons","1"
"00:10:12:20","00:10:13:04","également","1"
"00:10:13:04","00:10:14:00","des choses","1"
"00:10:14:00","00:10:14:22","pour","1"
"00:10:14:22","00:10:15:07","rire,","1"
"00:10:15:07","00:10:15:12","ma","1"
"00:10:15:12","00:10:16:02","chérie.","1"
"00:10:16:02","00:10:16:07","Ce n'est","1"
"00:10:16:07","00:10:16:14","pas un","1"
"00:10:16:14","00:10:16:22","hasard","1"
"00:10:16:22","00:10:17:02","si","1"
"00:10:17:02","00:10:17:08","chaque","1"
"00:10:17:08","00:10:17:15","paire","1"
"00:10:17:15","00:10:17:21","porte","1"
"00:10:17:21","00:10:18:05","le nom","1"
"00:10:18:05","00:10:18:10","d'une","1"
"00:10:18:10","00:10:18:19","partie","1"
"00:10:18:19","00:10:18:22","du","1"
"00:10:18:22","00:10:19:15","dragon.","1"
"00:10:19:15","00:10:20:03","Autrefois,","1"
"00:10:20:03","00:10:20:15","nous vivions","1"
